,user_id,signup_date,channel
452,453,2025-11-08,Organic
453,454,2025-12-13,Organic
454,455,2025-09-02,Referral
455,456,2025-07-18,Referral
456,457,2025-09-10,Organic
457,458,2025-10-01,Paid Ad
458,459,2025-12-21,Paid Ad
459,460,2025-10-01,Organic
460,461,2025-08-29,Referral
461,462,2025-07-15,Paid Ad
462,463,2025-07-17,Paid Ad
463,464,2025-07-09,Organic
464,465,2025-09-01,Paid Ad
465,466,2025-11-07,Paid Ad
466,467,2025-09-10,Paid Ad
467,468,2025-09-20,Paid Ad
468,469,2025-08-01,Paid Ad
469,470,2025-10-10,Referral
470,471,2025-12-26,Organic
471,472,2025-10-29,Paid Ad
472,473,2025-08-23,Paid Ad
473,474,2025-12-15,Organic
474,475,2025-07-02,Paid Ad
475,476,2025-12-05,Organic
476,477,2025-11-27,Organic
477,478,2025-09-28,Paid Ad
478,479,2025-10-14,Organic
479,480,2025-08-30,Paid Ad
480,481,2025-07-06,Paid Ad
481,482,2025-08-10,Paid Ad
482,483,2025-12-25,Paid Ad
483,484,2025-10-19,Referral
484,485,2025-09-22,Paid Ad
485,486,2025-07-22,Paid Ad
486,487,2025-08-10,Organic
487,488,2025-07-12,Organic
488,489,2025-08-14,Paid Ad
489,490,2025-10-08,Paid Ad
490,491,2025-08-22,Paid Ad
491,492,2025-09-20,Organic
492,493,2025-08-06,Referral
493,494,2025-11-08,Organic
494,495,2025-10-01,Paid Ad
495,496,2025-11-12,Paid Ad
496,497,2025-12-06,Paid Ad
497,498,2025-08-06,Organic
498,499,2025-07-20,Paid Ad
499,500,2025-12-26,Paid Ad
500,501,2025-10-25,Organic
501,502,2025-09-17,Referral
502,503,2025-12-17,Referral
503,504,2025-11-02,Organic
504,505,2025-08-09,Referral
505,506,2025-07-26,Paid Ad
506,507,2025-09-25,Paid Ad
507,508,2025-07-02,Organic
508,509,2025-08-10,Organic
509,510,2025-10-19,Paid Ad
510,511,2025-09-22,Paid Ad
511,512,2025-10-31,Organic
512,513,2025-12-10,Paid Ad
513,514,2025-12-15,Paid Ad
514,515,2025-11-28,Paid Ad
515,516,2025-10-26,Organic
516,517,2025-07-10,Paid Ad
517,518,2025-11-10,Organic
518,519,2025-07-01,Organic
519,520,2025-07-28,Organic
520,521,2025-12-12,Paid Ad
521,522,2025-08-25,Paid Ad
522,523,2025-10-16,Paid Ad
523,524,2025-09-16,Organic
524,525,2025-07-20,Organic
525,526,2025-08-04,Paid Ad
526,527,2025-09-07,Organic
527,528,2025-07-12,Organic
528,529,2025-08-12,Organic
529,530,2025-07-29,Referral
530,531,2025-12-18,Paid Ad
531,532,2025-09-22,Organic
532,533,2025-08-21,Paid Ad
533,534,2025-10-27,Organic
534,535,2025-07-08,Organic
535,536,2025-09-24,Organic
536,537,2025-10-27,Referral
537,538,2025-10-22,Organic
538,539,2025-08-16,Paid Ad
539,540,2025-09-10,Paid Ad
540,541,2025-07-01,Organic
541,542,2025-08-22,Paid Ad
542,543,2025-09-01,Referral
543,544,2025-12-23,Paid Ad
544,545,2025-12-06,Paid Ad
545,546,2025-11-02,Paid Ad
546,547,2025-07-19,Referral
547,548,2025-07-23,Paid Ad
548,549,2025-09-26,Organic
549,550,2025-11-20,Paid Ad
550,551,2025-11-20,Paid Ad
551,552,2025-12-08,Organic
552,553,2025-12-19,Organic
553,554,2025-10-18,Paid Ad
554,555,2025-07-09,Organic
555,556,2025-08-17,Referral
556,557,2025-12-01,Organic
557,558,2025-08-17,Paid Ad
558,559,2025-07-15,Organic
559,560,2025-08-15,Paid Ad
560,561,2025-07-21,Organic
561,562,2025-08-16,Organic
562,563,2025-08-05,Referral
563,564,2025-07-21,Paid Ad
564,565,2025-09-16,Paid Ad
565,566,2025-08-21,Paid Ad
566,567,2025-12-03,Paid Ad
567,568,2025-12-11,Paid Ad
568,569,2025-09-15,Paid Ad
569,570,2025-07-07,Paid Ad
570,571,2025-11-18,Organic
571,572,2025-12-17,Organic
572,573,2025-09-22,Paid Ad
573,574,2025-11-06,Organic
574,575,2025-08-16,Referral
575,576,2025-10-26,Paid Ad
576,577,2025-07-26,Organic
577,578,2025-10-30,Organic
578,579,2025-11-29,Organic
579,580,2025-08-06,Organic
580,581,2025-10-08,Paid Ad
581,582,2025-11-23,Paid Ad
582,583,2025-09-07,Organic
583,584,2025-12-08,Organic
584,585,2025-12-23,Organic
585,586,2025-12-07,Paid Ad
586,587,2025-09-15,Paid Ad
587,588,2025-07-02,Organic
588,589,2025-11-23,Paid Ad
589,590,2025-12-14,Paid Ad
590,591,2025-07-24,Organic
591,592,2025-10-10,Paid Ad
592,593,2025-08-05,Organic
593,594,2025-11-08,Paid Ad
594,595,2025-09-08,Organic
595,596,2025-08-18,Referral
596,597,2025-12-19,Organic
597,598,2025-08-19,Paid Ad
598,599,2025-08-27,Organic
599,600,2025-12-19,Paid Ad
